OMIM ID	index
608033	0
145200	1
145750	2
223350	3
168600	4
304900	5
131440	6
188050	7
606176	8
222100	9
194200	10
175505	11
601386	12
188890	13
605253	14
112600	15
146110	16
601410	17
264800	18
176807	19
147530	20
172700	21
270960	22
156190	23
608320	24
300494	25
300491	26
249100	27
219050	28
131200	29
600794	30
155255	31
600791	32
179600	33
240400	34
260350	35
188470	36
109800	37
261100	38
106400	39
261515	40
607785	41
125853	42
125852	43
125851	44
125850	45
136880	46
277460	47
104130	48
303700	49
246400	50
115195	51
150600	52
160750	53
218200	54
256700	55
608446	56
254450	57
212350	58
208085	59
605074	60
206200	61
209880	62
227300	63
154276	64
600274	65
235200	66
145500	67
133690	68
217200	69
114500	70
220120	71
608622	72
308350	73
149730	74
604827	75
208550	76
210250	77
218800	78
134500	79
123400	80
178500	81
258360	82
188000	83
267430	84
143500	85
101400	86
268220	87
601634	88
226150	89
278200	90
202400	91
254770	92
102300	93
176200	94
165720	95
264350	96
176800	97
261550	98
607748	99
247640	100
144650	101
133239	102
608217	103
226650	104
171300	105
238800	106
212130	107
219700	108
607631	109
237450	110
178600	111
157700	112
194070	113
121200	114
121201	115
182830	116
605462	117
137580	118
209920	119
606864	120
147480	121
102400	122
157950	123
212140	124
606764	125
103780	126
107250	127
607208	128
608088	129
181500	130
601457	131
605027	132
605021	133
254400	134
604131	135
605899	136
211980	137
239350	138
105400	139
134750	140
601626	141
308600	142
148000	143
175100	144
109100	145
241100	146
165199	147
134430	148
130650	149
180300	150
132300	151
192000	152
304790	153
122100	154
159900	155
145100	156
143880	157
601859	158
607948	159
155240	160
164230	161
601367	162
608175	163
109400	164
273800	165
182280	166
131300	167
227220	168
259050	169
607498	170
607499	171
153880	172
101600	173
172800	174
242600	175
200170	176
190400	177
259500	178
106210	179
151590	180
130020	181
231200	182
205700	183
156000	184
143465	185
217150	186
603554	187
267730	188
203780	189
246300	190
107550	191
155100	192
138500	193
220110	194
601665	195
105200	196
127350	197
167870	198
601682	199
188030	200
253290	201
136200	202
608583	203
230450	204
606054	205
263800	206
147050	207
608516	208
604229	209
266120	210
146500	211
177200	212
254780	213
137215	214
167800	215
140600	216
300232	217
215470	218
607628	219
115300	220
252010	221
252011	222
109350	223
182940	224
138800	225
275000	226
187950	227
137750	228
102100	229
233810	230
210050	231
277440	232
135550	233
166710	234
140300	235
125700	236
166300	237
145590	238
113610	239
134520	240
607174	241
105830	242
102500	243
151400	244
205950	245
303110	246
132090	247
609015	248
128101	249
267740	250
165150	251
182000	252
174900	253
141749	254
247200	255
266600	256
254500	257
604302	258
211900	259
269160	260
167320	261
264120	262
276300	263
259660	264
191800	265
208750	266
203200	267
148100	268
104300	269
143890	270
608930	271
608931	272
248200	273
163200	274
604271	275
604571	276
211400	277
146255	278
254800	279
103100	280
602080	281
602089	282
260570	283
212112	284
160150	285
254200	286
308205	287
260970	288
212050	289
312910	290
263300	291
161900	292
226730	293
158810	294
607501	295
140850	296
607507	297
607508	298
208300	299
275210	300
137760	301
132100	302
209900	303
137400	304
125310	305
605055	306
260480	307
166760	308
600351	309
188550	310
122700	311
605472	312
189600	313
114480	314
110100	315
607225	316
190310	317
601004	318
133600	319
217095	320
606690	321
220100	322
203700	323
300125	324
145600	325
607554	326
255900	327
608971	328
237500	329
600880	330
600631	331
600634	332
168100	333
601608	334
155601	335
155600	336
607682	337
607681	338
146850	339
604416	340
607685	341
600496	342
191830	343
256000	344
208700	345
311360	346
604091	347
158320	348
600082	349
146200	350
115645	351
603233	352
277350	353
215140	354
181000	355
162091	356
162900	357
241519	358
248190	359
308800	360
606963	361
231090	362
119500	363
115000	364
143100	365
140700	366
602522	367
144110	368
246470	369
134510	370
152700	371
606703	372
208230	373
273300	374
145900	375
606798	376
125600	377
600263	378
602068	379
103470	380
256370	381
131800	382
604367	383
193300	384
603165	385
160300	386
192200	387
187500	388
540000	389
226600	390
225740	391
601675	392
600808	393
102200	394
158280	395
127750	396
601462	397
133100	398
174800	399
220290	400
156240	401
225755	402
137800	403
114580	404
132600	405
226000	406
230800	407
236000	408
109543	409
133200	410
252320	411
187800	412
601518	413
250790	414
107650	415
147540	416
243200	417
157300	418
173200	419
607516	420
144010	421
607459	422
608105	423
254090	424
123150	425
191390	426
208920	427
192600	428
184700	429
602782	430
144700	431
189800	432
607850	433
268320	434
114550	435
190300	436
170900	437
109200	438
600131	439
600807	440
600803	441
601042	442
107320	443
310468	444
126200	445
216360	446
231900	447
125320	448
